Frame,Sub Frame,"Position - TelloUWB11",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"833.21","31.2167","92.1957"
2,0,"833.479","30.8453","92.3983"
3,0,"833.211","31.2236","92.2214"
4,0,"833.504","30.8337","92.3757"
5,0,"833.201","31.2145","92.2179"
6,0,"833.209","31.2142","92.2112"
7,0,"833.493","30.8343","92.381"
8,0,"833.421","31.0886","92.1549"
9,0,"833.427","31.0872","92.1362"
10,0,"833.69","30.7194","92.3266"
11,0,"833.482","30.85","92.3816"
12,0,"833.707","30.7233","92.3206"
13,0,"833.489","30.8527","92.3901"
14,0,"833.205","31.2105","92.2081"
15,0,"833.476","30.8534","92.3924"
16,0,"833.485","30.8593","92.3671"
17,0,"833.485","30.8623","92.3744"
18,0,"833.502","30.8451","92.3659"
19,0,"833.201","31.2195","92.2087"
20,0,"833.213","31.2182","92.2188"
21,0,"833.416","31.0896","92.1458"
22,0,"833.198","31.2203","92.2248"
23,0,"833.197","31.2202","92.2281"
24,0,"833.494","30.8425","92.3818"
25,0,"833.496","30.8339","92.3882"
26,0,"833.201","31.2329","92.2146"
27,0,"833.203","31.2167","92.2247"
28,0,"833.505","30.8617","92.3817"
29,0,"833.202","31.2161","92.224"
30,0,"833.496","30.8337","92.3769"
31,0,"833.211","31.2222","92.2242"
32,0,"833.211","31.2146","92.2025"
33,0,"833.704","30.7322","92.3294"
34,0,"833.498","30.84","92.3765"
35,0,"833.502","30.8472","92.3667"
36,0,"833.496","30.8538","92.3959"
37,0,"833.691","30.727","92.3153"
38,0,"833.491","30.8478","92.39"
39,0,"833.493","30.8493","92.4166"
40,0,"833.492","30.8535","92.3861"
41,0,"833.489","30.8539","92.3898"
42,0,"833.706","30.7221","92.3106"
43,0,"833.495","30.858","92.3841"
44,0,"833.203","31.2124","92.2178"
45,0,"833.489","30.8448","92.4029"
46,0,"833.21","31.2248","92.2252"
47,0,"833.492","30.8307","92.3853"
48,0,"833.683","30.7266","92.3392"
49,0,"833.487","30.8556","92.3754"
50,0,"833.696","30.7275","92.3172"
51,0,"833.194","31.2284","92.2028"
52,0,"833.193","31.2265","92.2139"
53,0,"833.486","30.8428","92.3979"
54,0,"833.49","30.8337","92.3788"
55,0,"833.492","30.8455","92.3784"
56,0,"833.488","30.8348","92.3956"
57,0,"833.479","30.8559","92.398"
58,0,"833.689","30.7283","92.314"
59,0,"833.7","30.7288","92.3275"
60,0,"833.499","30.8378","92.3863"
61,0,"833.491","30.8324","92.3873"
62,0,"833.409","31.0748","92.1374"
63,0,"833.194","31.2222","92.21"
64,0,"833.208","31.2312","92.2063"
65,0,"833.495","30.8414","92.3891"
66,0,"833.205","31.214","92.2281"
67,0,"833.67","30.7477","92.3375"
68,0,"833.194","31.2158","92.2129"
69,0,"833.483","30.8519","92.3809"
70,0,"833.205","31.2195","92.2162"
71,0,"833.696","30.7124","92.3138"
72,0,"833.694","30.7213","92.3273"
73,0,"833.189","31.212","92.232"
74,0,"833.184","31.2274","92.2096"
75,0,"833.505","30.8417","92.3805"
76,0,"833.419","31.0853","92.1445"
77,0,"833.686","30.7283","92.3067"
78,0,"833.19","31.232","92.2099"
79,0,"833.199","31.2208","92.208"
80,0,"833.203","31.2244","92.2281"
81,0,"833.685","30.7241","92.3208"
82,0,"833.669","30.7307","92.3245"
83,0,"833.416","31.0806","92.1515"
84,0,"833.475","30.847","92.3898"
85,0,"833.699","30.7246","92.2997"
86,0,"833.413","31.0807","92.1318"
87,0,"833.468","30.8379","92.3792"
88,0,"833.485","30.8321","92.3918"
89,0,"833.483","30.8391","92.3577"
90,0,"833.202","31.2066","92.2268"
91,0,"833.199","31.209","92.2103"
92,0,"833.408","31.099","92.1435"
93,0,"833.412","31.0911","92.1423"
94,0,"833.196","31.2257","92.2223"
95,0,"833.486","30.8361","92.3813"
96,0,"833.408","31.0886","92.1293"
97,0,"833.486","30.8395","92.4039"
98,0,"833.213","31.2041","92.2313"
99,0,"833.679","30.7298","92.3331"
100,0,"833.493","30.8529","92.3521"
101,0,"833.199","31.2066","92.2144"
102,0,"833.486","30.8402","92.4051"
103,0,"833.198","31.2159","92.2043"
104,0,"833.408","31.0915","92.1444"
105,0,"833.681","30.7285","92.3067"
106,0,"833.485","30.844","92.3645"
107,0,"833.483","30.8481","92.3669"
108,0,"833.18","31.2187","92.1988"
109,0,"833.405","31.0718","92.1366"
110,0,"833.474","30.8559","92.3834"
111,0,"833.693","30.7206","92.3057"
112,0,"833.464","30.8625","92.3858"
113,0,"833.478","30.8501","92.4083"
114,0,"833.194","31.2154","92.2076"
115,0,"833.477","30.8385","92.3645"
116,0,"833.203","31.2169","92.207"
117,0,"833.678","30.7193","92.3088"
118,0,"833.403","31.0866","92.1493"
119,0,"833.398","31.0832","92.1376"
120,0,"833.482","30.8505","92.3912"
121,0,"833.69","30.7044","92.3115"
122,0,"833.188","31.2253","92.2029"
123,0,"833.667","30.7349","92.3245"
124,0,"833.681","30.7265","92.317"
125,0,"833.486","30.8282","92.3782"
126,0,"833.487","30.8416","92.379"
127,0,"833.505","30.8412","92.3781"
128,0,"833.482","30.8408","92.3917"
129,0,"833.396","31.0908","92.1275"
130,0,"833.473","30.8541","92.3711"
131,0,"833.695","30.7128","92.3165"
132,0,"833.692","30.7131","92.3208"
133,0,"833.203","31.212","92.2152"
134,0,"833.488","30.8388","92.3681"
135,0,"833.693","30.7171","92.288"
136,0,"833.179","31.2272","92.2333"
137,0,"833.487","30.8355","92.3756"
138,0,"833.49","30.8385","92.3888"
139,0,"833.688","30.7143","92.304"
140,0,"833.473","30.8492","92.3771"
141,0,"833.198","31.217","92.2118"
142,0,"833.466","30.8375","92.3799"
143,0,"833.491","30.8466","92.3637"
144,0,"833.482","30.848","92.3934"
145,0,"833.676","30.723","92.3347"
146,0,"833.697","30.7253","92.3122"
147,0,"833.688","30.7308","92.2979"
