Frame,Sub Frame,"Position - TelloUWB11",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"-53.4915","953.706","-19.8591"
2,0,"-53.3576","953.657","-19.9671"
3,0,"-53.3609","953.663","-19.9688"
4,0,"-53.519","953.703","-19.6035"
5,0,"-53.3816","953.674","-19.7197"
6,0,"-53.3856","953.673","-19.7446"
7,0,"-53.3533","953.666","-19.9759"
8,0,"-53.4881","953.699","-19.8393"
9,0,"-53.3801","953.649","-19.9741"
10,0,"-53.3916","953.668","-19.7419"
11,0,"-53.3612","953.666","-19.7138"
12,0,"-53.4808","953.685","-19.8305"
13,0,"-53.49","953.729","-19.6497"
14,0,"-53.4944","953.693","-19.8544"
15,0,"-53.5107","953.713","-19.8529"
16,0,"-53.4933","953.701","-19.8415"
17,0,"-53.4964","953.702","-19.8361"
18,0,"-53.3664","953.649","-19.9631"
19,0,"-53.4706","953.729","-19.8824"
20,0,"-53.5228","953.695","-19.587"
21,0,"-53.486","953.71","-19.8334"
22,0,"-53.5028","953.686","-19.5882"
23,0,"-53.4528","953.715","-19.8874"
24,0,"-53.5101","953.693","-19.8564"
25,0,"-53.3264","953.687","-20.0264"
26,0,"-53.5011","953.706","-19.8578"
27,0,"-53.3831","953.657","-19.7323"
28,0,"-53.5002","953.69","-19.8427"
29,0,"-53.4588","953.739","-19.8998"
30,0,"-53.3253","953.683","-20.0205"
31,0,"-53.5185","953.696","-19.8665"
32,0,"-53.3709","953.655","-19.9702"
33,0,"-53.3547","953.646","-19.9738"
34,0,"-53.3392","953.657","-19.9563"
35,0,"-53.4716","953.704","-19.8287"
36,0,"-53.4673","953.721","-19.8829"
37,0,"-53.5073","953.698","-19.844"
38,0,"-53.3194","953.689","-20.0218"
39,0,"-53.3264","953.66","-20.0039"
40,0,"-53.4869","953.7","-19.8189"
41,0,"-53.0872","953.78","-19.9673"
42,0,"-53.336","953.669","-20.006"
43,0,"-53.4705","953.712","-19.8984"
44,0,"-53.4575","953.718","-19.9055"
45,0,"-53.3719","953.656","-19.9596"
46,0,"-53.3587","953.659","-19.9781"
47,0,"-53.338","953.683","-20.0171"
48,0,"-53.3579","953.654","-19.9636"
49,0,"-53.5058","953.692","-19.8472"
50,0,"-53.3754","953.645","-19.9652"
51,0,"-53.357","953.649","-19.9607"
52,0,"-53.4689","953.714","-19.8995"
53,0,"-53.494","953.715","-19.9048"
54,0,"-53.3166","953.666","-19.995"
55,0,"-53.375","953.654","-19.7095"
56,0,"-53.4958","953.699","-19.851"
57,0,"-53.4732","953.733","-19.9103"
58,0,"-53.4715","953.712","-19.8969"
59,0,"-53.356","953.656","-19.9608"
60,0,"-53.4778","953.697","-19.8216"
61,0,"-53.465","953.717","-19.8847"
62,0,"-53.476","953.72","-19.9054"
63,0,"-53.3237","953.67","-20.0138"
64,0,"-53.3209","953.659","-20.0061"
65,0,"-53.3586","953.679","-19.7905"
66,0,"-53.3463","953.64","-19.9575"
67,0,"-53.3703","953.686","-19.79"
68,0,"-53.4681","953.719","-19.8964"
69,0,"-53.4816","953.715","-19.6461"
70,0,"-53.364","953.656","-19.9686"
71,0,"-53.4759","953.721","-19.8964"
72,0,"-53.4978","953.74","-19.6503"
73,0,"-53.4951","953.699","-19.8518"
74,0,"-53.479","953.732","-19.9033"
75,0,"-53.4632","953.725","-19.8903"
76,0,"-53.3534","953.673","-20.0529"
77,0,"-53.3645","953.653","-19.9718"
78,0,"-53.4917","953.735","-19.6529"
79,0,"-53.3737","953.642","-19.9906"
80,0,"-53.4883","953.717","-19.6556"
81,0,"-53.5086","953.699","-19.8499"
82,0,"-53.3349","953.68","-20.0319"
83,0,"-53.458","953.718","-19.8811"
84,0,"-53.343","953.656","-19.764"
85,0,"-53.4938","953.71","-19.8471"
86,0,"-53.512","953.707","-19.6093"
87,0,"-53.4827","953.694","-19.8371"
88,0,"-53.3282","953.657","-20.0067"
89,0,"-53.4648","953.724","-19.8787"
90,0,"-53.4938","953.679","-19.8465"
91,0,"-53.4643","953.725","-19.8871"
92,0,"-53.5052","953.704","-19.854"
93,0,"-53.371","953.661","-19.9572"
94,0,"-53.4641","953.718","-19.9001"
95,0,"-53.4635","953.733","-19.901"
96,0,"-53.3775","953.652","-19.9859"
97,0,"-53.3129","953.664","-19.9882"
98,0,"-53.3578","953.642","-19.9737"
99,0,"-53.4961","953.703","-19.8411"
100,0,"-53.508","953.691","-19.5881"
101,0,"-53.3217","953.681","-20.0195"
102,0,"-53.3644","953.647","-19.9773"
103,0,"-53.299","953.661","-20.0106"
104,0,"-53.4738","953.691","-19.8456"
105,0,"-53.4357","953.727","-19.8797"
106,0,"-53.3552","953.645","-19.9622"
107,0,"-53.4813","953.727","-19.6397"
108,0,"-53.3103","953.675","-20.0067"
109,0,"-53.2974","953.67","-19.996"
110,0,"-53.4626","953.716","-19.8698"
111,0,"-53.3616","953.639","-19.7329"
112,0,"-53.4344","953.713","-19.8679"
113,0,"-53.4885","953.688","-19.8219"
114,0,"-53.4693","953.681","-19.8091"
115,0,"-53.3418","953.658","-19.9612"
116,0,"-53.4674","953.723","-19.6348"
117,0,"-53.3182","953.66","-20.0112"
118,0,"-53.4328","953.716","-19.8575"
119,0,"-53.5153","953.686","-19.6053"
120,0,"-53.3213","953.668","-20.0143"
121,0,"-53.3144","953.679","-20.0281"
122,0,"-53.4602","953.732","-19.8879"
123,0,"-53.3281","953.666","-20.0365"
124,0,"-53.4733","953.7","-19.8397"
125,0,"-53.3155","953.671","-20.0091"
126,0,"-53.3006","953.67","-20.0164"
127,0,"-53.3138","953.666","-20.0179"
128,0,"-53.4541","953.712","-19.8631"
129,0,"-53.4544","953.722","-19.8903"
130,0,"-53.4639","953.691","-19.8019"
131,0,"-53.3","953.675","-19.9948"
132,0,"-53.4905","953.698","-19.8624"
133,0,"-53.337","953.653","-19.9511"
134,0,"-53.3205","953.682","-20.0204"
