Frame,Sub Frame,"Rotation (Helical) - TelloUWB11",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"-0.766351","1.47337","-2.44514"
2,0,"-0.776617","1.45273","-2.45108"
3,0,"-0.862897","1.23894","-2.56007"
4,0,"-2.01764","2.31144","-2.78015"
5,0,"-0.742368","1.52926","-2.39058"
6,0,"-0.886025","1.21378","-2.60635"
7,0,"-0.760457","1.45035","-2.45365"
8,0,"-0.721632","1.53237","-2.38108"
9,0,"-0.759253","1.54306","-2.3916"
10,0,"-0.838081","1.25445","-2.55693"
11,0,"-0.643347","1.0399","-2.50655"
12,0,"-0.879886","1.22518","-2.59667"
13,0,"-0.541719","1.2555","-2.38116"
14,0,"-0.777429","1.46616","-2.45082"
15,0,"-0.732988","1.53495","-2.38824"
16,0,"-0.753959","1.54647","-2.38582"
17,0,"-0.850195","1.22469","-2.56373"
18,0,"-1.68746","2.46412","-2.57486"
19,0,"-0.725972","1.13623","-2.57592"
20,0,"-0.895336","1.22353","-2.60949"
21,0,"-0.871702","1.24535","-2.56789"
22,0,"-0.760887","1.45661","-2.44556"
23,0,"-0.868245","1.26611","-2.56577"
24,0,"-0.762361","1.54491","-2.39062"
25,0,"-0.87013","1.25599","-2.56676"
26,0,"-0.739895","1.5399","-2.38034"
27,0,"-0.88917","1.20834","-2.60073"
28,0,"-0.750879","1.45313","-2.44399"
29,0,"-0.737589","1.52084","-2.38369"
30,0,"-0.761907","1.45515","-2.44454"
31,0,"-0.709815","1.52066","-2.38349"
32,0,"-0.850163","1.25914","-2.55283"
33,0,"-0.773603","1.47013","-2.44691"
34,0,"-0.868737","1.25987","-2.5624"
35,0,"-0.729535","1.53004","-2.38085"
36,0,"-0.877203","1.18962","-2.60561"
37,0,"-0.720817","1.51719","-2.38158"
38,0,"-0.773269","1.48179","-2.44782"
39,0,"-0.549412","1.3581","-2.33454"
40,0,"-0.796326","1.47321","-2.45575"
41,0,"-0.734795","1.53465","-2.38967"
42,0,"-0.741801","1.54733","-2.38374"
43,0,"-0.713494","1.51112","-2.3796"
44,0,"-0.752206","1.54178","-2.38303"
45,0,"-0.863571","1.26226","-2.55573"
46,0,"-0.723938","1.53281","-2.38605"
47,0,"-0.745717","1.53273","-2.38438"
48,0,"-0.768912","1.45812","-2.45424"
49,0,"-0.765439","1.45683","-2.44557"
50,0,"-0.738445","1.52461","-2.38097"
51,0,"-0.748021","1.44649","-2.4468"
52,0,"-0.508473","1.32338","-2.31861"
53,0,"-0.99302","1.61412","-2.28997"
54,0,"-0.728787","1.52158","-2.39472"
55,0,"-0.89004","1.26024","-2.56407"
56,0,"-0.778355","1.47471","-2.44907"
57,0,"-0.849216","1.23716","-2.56313"
58,0,"-0.882061","1.22669","-2.60871"
59,0,"-0.787356","1.47836","-2.45514"
60,0,"-0.828649","1.22259","-2.56364"
61,0,"-0.716428","1.52757","-2.3901"
62,0,"-0.726941","1.53453","-2.38401"
63,0,"-0.759336","1.46327","-2.44429"
64,0,"-0.767143","1.55635","-2.3938"
65,0,"-0.86852","1.24417","-2.5618"
66,0,"-0.721765","1.51608","-2.38003"
67,0,"-0.723743","1.52828","-2.38321"
68,0,"-0.738787","1.44483","-2.44627"
69,0,"-0.954777","1.68313","-2.20291"
70,0,"-0.84053","1.26401","-2.56458"
71,0,"-0.738053","1.53773","-2.39081"
72,0,"-0.487816","0.980131","-2.46924"
73,0,"-1.85247","2.53553","-2.60533"
74,0,"-0.778516","1.48112","-2.44484"
75,0,"-0.746167","1.53853","-2.38827"
76,0,"-0.55654","1.44943","-2.35479"
77,0,"-0.743349","1.55045","-2.38243"
78,0,"-0.900863","1.24647","-2.60828"
79,0,"-0.835023","1.24175","-2.55715"
80,0,"-0.733778","1.53407","-2.37934"
81,0,"-0.605766","1.08071","-2.49881"
82,0,"-0.760974","1.45781","-2.44842"
83,0,"-0.716513","1.52243","-2.3893"
84,0,"-0.854531","1.25365","-2.56547"
85,0,"-0.727196","1.53267","-2.38493"
