Frame,Sub Frame,"Rotation (Helical) - TelloUWB11",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"-0.246168","1.31547","-5.46548"
2,0,"-0.745601","1.70524","-5.33467"
3,0,"-0.245787","1.31916","-5.47762"
4,0,"-0.64906","1.63361","-5.31517"
5,0,"-0.292477","1.34317","-5.47431"
6,0,"-0.256641","1.32181","-5.47038"
7,0,"-0.705677","1.66409","-5.32952"
8,0,"-0.422384","1.32887","-5.56932"
9,0,"-0.405508","1.29533","-5.56724"
10,0,"-0.841037","1.66457","-5.4184"
11,0,"-0.703779","1.67399","-5.33074"
12,0,"-0.815704","1.63521","-5.40907"
13,0,"-0.684517","1.6572","-5.32173"
14,0,"-0.252047","1.31185","-5.4788"
15,0,"-0.753913","1.70687","-5.34866"
16,0,"-0.676756","1.6394","-5.32877"
17,0,"-0.678869","1.66343","-5.32687"
18,0,"-0.684947","1.65851","-5.31689"
19,0,"-0.246349","1.30919","-5.47178"
20,0,"-0.295688","1.3536","-5.48191"
21,0,"-0.394174","1.29969","-5.56802"
22,0,"-0.289777","1.35298","-5.47694"
23,0,"-0.268045","1.3333","-5.48606"
24,0,"-0.707065","1.66059","-5.32917"
25,0,"-0.71665","1.66902","-5.32407"
26,0,"-0.29073","1.34969","-5.48658"
27,0,"-0.325153","1.37859","-5.49114"
28,0,"-0.723736","1.68387","-5.33312"
29,0,"-0.276125","1.34151","-5.48455"
30,0,"-0.689607","1.65393","-5.31549"
31,0,"-0.284364","1.34619","-5.47395"
32,0,"-0.250905","1.31491","-5.47096"
33,0,"-0.867337","1.67125","-5.42013"
34,0,"-0.679631","1.64308","-5.31964"
35,0,"-0.678886","1.64156","-5.32377"
36,0,"-0.745995","1.70029","-5.34649"
37,0,"-0.810992","1.62874","-5.40517"
38,0,"-0.716885","1.67055","-5.33935"
39,0,"-0.796516","1.73974","-5.36074"
40,0,"-0.705118","1.66168","-5.32878"
41,0,"-0.708274","1.66521","-5.33492"
42,0,"-0.804538","1.61584","-5.40776"
43,0,"-0.732339","1.69207","-5.33752"
44,0,"-0.281109","1.35166","-5.47165"
45,0,"-0.730047","1.69917","-5.33977"
46,0,"-0.283072","1.34143","-5.48588"
47,0,"-0.702374","1.67076","-5.32657"
48,0,"-0.865065","1.66504","-5.42161"
49,0,"-0.68718","1.65582","-5.33232"
50,0,"-0.838453","1.64543","-5.41441"
51,0,"-0.22402","1.3051","-5.46439"
52,0,"-0.262902","1.33017","-5.47746"
53,0,"-0.703482","1.67822","-5.33196"
54,0,"-0.682966","1.6402","-5.32155"
55,0,"-0.676807","1.64719","-5.32665"
56,0,"-0.738139","1.68385","-5.3291"
57,0,"-0.730197","1.67884","-5.33511"
58,0,"-0.788632","1.6165","-5.40399"
59,0,"-0.834081","1.6419","-5.41719"
60,0,"-0.727617","1.6809","-5.33419"
61,0,"-0.723012","1.67333","-5.32558"
62,0,"-0.356732","1.26918","-5.55171"
63,0,"-0.22339","1.30315","-5.46287"
64,0,"-0.245112","1.30582","-5.471"
65,0,"-0.705584","1.67464","-5.32605"
66,0,"-0.271851","1.33215","-5.47441"
67,0,"-0.902261","1.68836","-5.44446"
68,0,"-0.268249","1.32627","-5.47563"
69,0,"-0.725705","1.6849","-5.3344"
70,0,"-0.254524","1.31138","-5.46405"
71,0,"-0.80705","1.6263","-5.40769"
72,0,"-0.851569","1.65464","-5.41688"
73,0,"-0.310847","1.36583","-5.49477"
74,0,"-0.263027","1.32693","-5.48259"
75,0,"-0.689384","1.65664","-5.32598"
76,0,"-0.402","1.31455","-5.55964"
77,0,"-0.792998","1.61213","-5.41993"
78,0,"-0.236243","1.30425","-5.47834"
79,0,"-0.228512","1.29615","-5.46992"
80,0,"-0.280571","1.34197","-5.49004"
81,0,"-0.858255","1.65469","-5.43006"
82,0,"-0.858726","1.65127","-5.43241"
83,0,"-0.432317","1.32469","-5.5679"
84,0,"-0.73122","1.69228","-5.33949"
85,0,"-0.813052","1.61461","-5.41674"
