Frame,Sub Frame,"Rotation (Helical) - TelloUWB22",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"1.10563","5.5066","174.826"
2,0,"1.36789","5.38166","174.938"
3,0,"1.11426","5.5147","174.835"
4,0,"1.3978","5.3573","174.923"
5,0,"1.12353","5.51886","174.822"
6,0,"1.10393","5.50561","174.833"
7,0,"1.37567","5.36046","174.934"
8,0,"1.3718","5.3713","174.923"
9,0,"1.12535","5.51387","174.832"
10,0,"1.35244","5.3515","174.939"
11,0,"1.37296","5.35776","174.93"
12,0,"1.09625","5.50044","174.818"
13,0,"1.10425","5.51154","174.834"
14,0,"1.12093","5.50626","174.833"
15,0,"1.11024","5.5065","174.837"
16,0,"1.12697","5.50562","174.827"
17,0,"1.12829","5.50421","174.837"
18,0,"0.789349","5.49085","174.788"
19,0,"1.38061","5.34648","174.947"
20,0,"1.11453","5.50907","174.822"
21,0,"1.10728","5.52126","174.823"
22,0,"1.11162","5.50186","174.841"
23,0,"1.38553","5.354","174.935"
24,0,"1.10554","5.5271","174.824"
25,0,"1.38007","5.36218","174.929"
26,0,"1.11106","5.50123","174.838"
27,0,"1.10965","5.5167","174.828"
28,0,"1.3799","5.36192","174.933"
29,0,"1.11491","5.50144","174.836"
30,0,"0.779466","5.49414","174.793"
31,0,"1.13134","5.52902","174.829"
32,0,"1.09003","5.50512","174.842"
33,0,"1.11306","5.51186","174.832"
34,0,"1.10996","5.48931","174.835"
35,0,"1.09666","5.51544","174.823"
36,0,"1.11647","5.50686","174.844"
37,0,"1.37532","5.38054","174.942"
38,0,"1.1083","5.51147","174.827"
39,0,"1.12202","5.51947","174.832"
40,0,"1.12317","5.5129","174.824"
41,0,"1.11407","5.49318","174.84"
42,0,"1.36586","5.36486","174.944"
43,0,"1.11121","5.48332","174.834"
44,0,"1.3594","5.35754","174.945"
45,0,"1.11655","5.50951","174.839"
46,0,"1.11113","5.505","174.827"
47,0,"1.11901","5.50913","174.835"
48,0,"1.08604","5.51562","174.83"
49,0,"1.1066","5.50945","174.835"
50,0,"1.11977","5.53974","174.824"
51,0,"1.12037","5.52249","174.84"
52,0,"1.11794","5.49598","174.83"
53,0,"1.14598","5.54126","174.828"
54,0,"1.36921","5.36741","174.948"
55,0,"1.12218","5.51742","174.824"
56,0,"1.37183","5.38509","174.938"
57,0,"1.12312","5.52147","174.837"
58,0,"1.1267","5.5047","174.828"
59,0,"1.11886","5.50509","174.823"
60,0,"1.09486","5.49653","174.84"
61,0,"1.13224","5.50419","174.838"
62,0,"0.778091","5.48858","174.803"
63,0,"1.11079","5.5116","174.821"
64,0,"1.11366","5.52777","174.834"
65,0,"1.10688","5.52554","174.845"
66,0,"1.09318","5.48066","174.839"
67,0,"1.11729","5.4933","174.838"
68,0,"1.12247","5.51599","174.836"
69,0,"1.10683","5.51541","174.84"
70,0,"1.37581","5.345","174.943"
71,0,"1.12152","5.52961","174.832"
72,0,"1.11021","5.51775","174.834"
73,0,"1.10408","5.51321","174.851"
74,0,"1.12664","5.50621","174.835"
75,0,"1.3755","5.38352","174.935"
76,0,"1.01622","5.34256","174.891"
77,0,"1.11722","5.48514","174.837"
78,0,"1.36819","5.34509","174.951"
79,0,"1.37856","5.39578","174.932"
80,0,"1.10863","5.50521","174.84"
81,0,"1.11177","5.49259","174.839"
82,0,"1.13028","5.5252","174.826"
83,0,"1.37016","5.37103","174.938"
84,0,"1.11464","5.49778","174.84"
85,0,"1.36663","5.35422","174.936"
86,0,"1.13502","5.52478","174.828"
87,0,"1.11542","5.49343","174.829"
88,0,"1.10911","5.52292","174.837"
89,0,"1.12088","5.49395","174.827"
90,0,"1.11345","5.51483","174.84"
91,0,"1.1147","5.50851","174.831"
92,0,"1.11564","5.54183","174.831"
93,0,"1.11455","5.50774","174.826"
94,0,"1.38484","5.36509","174.933"
95,0,"1.11329","5.48752","174.832"
96,0,"1.12265","5.53109","174.831"
97,0,"1.12029","5.51459","174.833"
98,0,"1.10948","5.50724","174.831"
