Frame,Sub Frame,"Position - TelloUWB22",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"-29.2945","960.329","-4.14842"
2,0,"-28.9956","959.984","-4.25798"
3,0,"-28.9989","959.971","-4.27681"
4,0,"-28.9987","959.976","-4.2743"
5,0,"-29.0052","959.972","-4.26616"
6,0,"-28.9942","959.976","-4.25745"
7,0,"-28.9971","959.971","-4.27187"
8,0,"-29.2979","960.313","-4.16752"
9,0,"-29.3","960.308","-4.16686"
10,0,"-29.3017","960.311","-4.15875"
11,0,"-29.0082","959.976","-4.26534"
12,0,"-28.9969","959.972","-4.25798"
13,0,"-28.9983","959.974","-4.26119"
14,0,"-29.0064","959.984","-4.27388"
15,0,"-29.0041","959.977","-4.26816"
16,0,"-29.2974","960.31","-4.15062"
17,0,"-29.0048","959.975","-4.25858"
18,0,"-28.9968","959.972","-4.26543"
19,0,"-29.0027","959.981","-4.25756"
20,0,"-29.2923","960.315","-4.1555"
21,0,"-29.347","960.306","-4.17748"
22,0,"-28.9984","959.976","-4.25769"
23,0,"-28.9998","959.982","-4.26088"
24,0,"-29.0045","959.982","-4.25961"
25,0,"-29.0032","959.974","-4.26163"
26,0,"-29.3091","960.305","-4.17046"
27,0,"-28.9919","959.974","-4.25709"
28,0,"-29.0037","959.969","-4.25948"
29,0,"-29.014","959.972","-4.25808"
30,0,"-29.3002","960.3","-4.17715"
31,0,"-28.9997","959.965","-4.26372"
32,0,"-29.0051","959.971","-4.25291"
33,0,"-29.2996","960.306","-4.16867"
34,0,"-29.008","959.967","-4.27093"
35,0,"-28.999","959.966","-4.272"
36,0,"-29.0038","959.97","-4.26945"
37,0,"-29.2918","960.295","-4.15904"
38,0,"-28.9988","959.962","-4.25949"
39,0,"-29.0034","959.969","-4.27466"
40,0,"-29.3022","960.307","-4.16613"
41,0,"-29.3065","960.315","-4.17485"
42,0,"-29.004","959.971","-4.26774"
43,0,"-29.2933","960.297","-4.15318"
44,0,"-29.3032","960.304","-4.17078"
45,0,"-29.0088","959.974","-4.26854"
46,0,"-28.9956","959.966","-4.2761"
47,0,"-29.0592","959.97","-4.27953"
48,0,"-29.3021","960.306","-4.16084"
49,0,"-29","959.969","-4.27031"
50,0,"-29.0034","959.978","-4.26837"
51,0,"-29.0004","959.975","-4.27617"
52,0,"-29.0032","959.971","-4.27533"
53,0,"-29.0072","959.968","-4.26651"
54,0,"-28.9973","959.967","-4.25276"
55,0,"-29.0028","959.965","-4.27828"
56,0,"-28.999","959.982","-4.26435"
57,0,"-29.001","959.974","-4.26697"
58,0,"-29.3002","960.304","-4.15564"
59,0,"-29.0066","959.977","-4.25"
60,0,"-29.0009","959.986","-4.26029"
61,0,"-29.2901","960.313","-4.16141"
62,0,"-28.9938","959.975","-4.27562"
63,0,"-29.0057","959.969","-4.26836"
64,0,"-28.9936","959.975","-4.26553"
65,0,"-29.2936","960.313","-4.1684"
66,0,"-29.2958","960.315","-4.15761"
67,0,"-28.9998","959.973","-4.26177"
68,0,"-29.0068","959.97","-4.26452"
69,0,"-29.2951","960.31","-4.15754"
70,0,"-29.3033","960.306","-4.16792"
71,0,"-29.0018","959.982","-4.26144"
72,0,"-29.2979","960.307","-4.1649"
73,0,"-29.295","960.299","-4.1687"
74,0,"-28.9902","959.987","-4.27148"
75,0,"-29.0571","959.962","-4.28405"
76,0,"-29.0072","959.97","-4.27375"
77,0,"-28.9983","959.981","-4.26357"
78,0,"-29.004","959.969","-4.25892"
79,0,"-28.9907","959.963","-4.25974"
80,0,"-29.0001","959.975","-4.26757"
81,0,"-29.3148","960.32","-4.14838"
82,0,"-28.9942","959.98","-4.26883"
83,0,"-29.0041","959.976","-4.26426"
84,0,"-29.2939","960.308","-4.16388"
85,0,"-29.2989","960.314","-4.16277"
86,0,"-28.9975","959.974","-4.27354"
87,0,"-28.999","959.982","-4.26127"
88,0,"-29.2912","960.314","-4.16122"
89,0,"-29.3021","960.314","-4.15431"
90,0,"-28.9953","959.979","-4.25001"
91,0,"-29.0004","959.969","-4.27316"
92,0,"-28.987","959.982","-4.2659"
93,0,"-28.9958","959.976","-4.26499"
94,0,"-28.9939","959.983","-4.26068"
95,0,"-29.3002","960.31","-4.16431"
96,0,"-29.0097","959.973","-4.26292"
97,0,"-29.0006","959.971","-4.2748"
98,0,"-29.3038","960.313","-4.15581"
99,0,"-29.2985","960.306","-4.15904"
100,0,"-29.2986","960.31","-4.15985"
101,0,"-29.2912","960.302","-4.1604"
102,0,"-29.0063","959.976","-4.26478"
103,0,"-29.0065","959.956","-4.26344"
104,0,"-29.3034","960.306","-4.16628"
105,0,"-29.2977","960.314","-4.15078"
106,0,"-29.0048","959.977","-4.25462"
107,0,"-29.3022","960.313","-4.17332"
108,0,"-29.0014","959.971","-4.26426"
109,0,"-29.0039","959.974","-4.27625"
110,0,"-28.9952","959.974","-4.25939"
111,0,"-29.2937","960.303","-4.16824"
112,0,"-29.0021","959.974","-4.25669"
113,0,"-29.007","959.972","-4.26923"
114,0,"-29.3507","960.303","-4.17355"
115,0,"-29.3575","960.303","-4.18953"
116,0,"-28.9978","959.97","-4.25774"
117,0,"-29.299","960.304","-4.1706"
118,0,"-29.0033","959.975","-4.27413"
119,0,"-28.986","959.977","-4.27183"
120,0,"-29.2905","960.303","-4.16026"
121,0,"-28.9989","959.968","-4.26115"
122,0,"-29.0086","959.977","-4.27342"
123,0,"-29.0045","959.965","-4.26957"
124,0,"-29.0005","959.967","-4.2762"
125,0,"-28.9939","959.973","-4.26664"
126,0,"-29.0013","959.975","-4.26508"
127,0,"-29.003","959.984","-4.26058"
128,0,"-29.292","960.317","-4.15722"
129,0,"-29.2946","960.308","-4.17223"
130,0,"-28.9891","959.973","-4.26866"
131,0,"-29.0028","959.986","-4.25545"
132,0,"-28.9992","959.97","-4.26273"
133,0,"-29.0035","959.982","-4.25795"
