Frame,Sub Frame,"Rotation (Helical) - TelloUWB22",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"-0.433726","7.01189","178.088"
2,0,"-0.868542","6.92159","178.057"
3,0,"-0.423563","7.05396","178.081"
4,0,"-0.426346","7.04037","178.092"
5,0,"-0.409661","7.0695","178.08"
6,0,"-0.421562","7.04973","178.086"
7,0,"-0.863683","6.93524","178.06"
8,0,"-0.429338","7.05309","178.08"
9,0,"-0.878548","6.9132","178.072"
10,0,"-0.44555","7.04803","178.081"
11,0,"0.888125","6.32594","178.816"
12,0,"-0.444592","7.02849","178.097"
13,0,"-0.420117","7.03807","178.093"
14,0,"-0.875219","6.9004","178.071"
15,0,"-0.883138","6.90725","178.064"
16,0,"-0.398749","7.03597","178.093"
17,0,"0.885252","6.29556","178.821"
18,0,"-0.421943","7.03558","178.1"
19,0,"-0.434458","7.03987","178.094"
20,0,"-0.668683","6.89271","178.204"
21,0,"-0.430977","7.03028","178.106"
22,0,"0.86502","6.34027","178.817"
23,0,"-0.421396","7.03442","178.077"
24,0,"-0.404638","7.00951","178.099"
25,0,"-0.88752","6.91436","178.069"
26,0,"-0.434086","7.04943","178.094"
27,0,"-0.411538","7.03745","178.085"
28,0,"-0.436326","7.02535","178.099"
29,0,"0.889806","6.2972","178.828"
30,0,"-0.423062","7.01992","178.094"
31,0,"-0.421295","7.03534","178.09"
32,0,"0.902799","6.31878","178.824"
33,0,"-0.411778","7.02212","178.095"
34,0,"-0.669622","6.8747","178.217"
35,0,"-0.430951","7.03928","178.088"
36,0,"-0.433447","7.03878","178.085"
37,0,"-0.439947","7.05093","178.084"
38,0,"0.898378","6.31454","178.829"
39,0,"-0.625509","6.86376","178.215"
40,0,"0.89561","6.30016","178.816"
41,0,"-0.421995","7.02445","178.091"
42,0,"0.899928","6.30605","178.829"
43,0,"-0.890411","6.90832","178.079"
44,0,"0.883491","6.32377","178.81"
45,0,"-0.418511","7.04198","178.082"
46,0,"0.872614","6.29559","178.822"
47,0,"0.908782","6.33952","178.814"
48,0,"-0.39333","7.04438","178.095"
49,0,"-0.870004","6.91375","178.07"
50,0,"-0.4465","7.02345","178.097"
51,0,"-0.414554","7.03983","178.089"
52,0,"0.896852","6.32418","178.812"
53,0,"-0.89403","6.94956","178.047"
54,0,"-0.455695","7.04483","178.089"
55,0,"0.88945","6.30664","178.819"
56,0,"-0.866737","6.92806","178.058"
57,0,"-0.418292","7.02114","178.091"
58,0,"-0.878654","6.93497","178.056"
59,0,"-0.411827","7.0462","178.079"
60,0,"-0.442268","7.03736","178.087"
61,0,"0.90344","6.33544","178.827"
62,0,"-0.710206","6.91298","178.192"
63,0,"0.924523","6.31182","178.828"
64,0,"0.871533","6.30283","178.814"
65,0,"-0.407552","7.00448","178.097"
66,0,"-0.436511","7.02243","178.086"
67,0,"-0.424435","7.0352","178.097"
68,0,"-0.883589","6.95049","178.063"
69,0,"-0.411119","7.04425","178.083"
70,0,"-0.863508","6.93338","178.072"
71,0,"-0.444947","7.02091","178.091"
72,0,"-0.422832","7.03551","178.094"
73,0,"0.850304","6.28394","178.823"
74,0,"0.889404","6.32911","178.805"
75,0,"-0.408829","7.05284","178.093"
76,0,"-0.845651","6.92084","178.07"
77,0,"-0.870599","6.91708","178.073"
78,0,"-0.392699","7.05581","178.089"
79,0,"-0.675299","6.85365","178.216"
80,0,"-0.417033","7.03955","178.082"
81,0,"-0.425268","7.03128","178.1"
82,0,"-0.440867","7.0309","178.08"
83,0,"-0.879363","6.91418","178.069"
84,0,"-0.668634","6.86761","178.22"
85,0,"-0.446308","7.03107","178.079"
86,0,"0.879665","6.32226","178.83"
87,0,"-0.400467","7.02182","178.093"
88,0,"-0.445565","7.03476","178.101"
89,0,"-0.889245","6.90295","178.08"
90,0,"-0.42935","7.02861","178.097"
91,0,"0.840066","6.32401","178.817"
92,0,"-0.0133828","6.67785","178.061"
93,0,"-0.669759","6.9093","178.191"
94,0,"-0.872616","6.91872","178.081"
