Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762166264.3513658,-2.0,-2.0,-998.0,0,0,0,0.0,0.0,0.0
1762166264.4666867,0.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166264.5803702,-1.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166264.69245,0.0,-3.0,-997.0,0,0,0,0.0,0.0,0.0
1762166264.797271,0.0,-2.0,-998.0,0,0,0,0.0,0.0,0.0
1762166264.9032617,-1.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762166265.016566,-1.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762166265.1175232,0.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166265.2179027,-1.0,-3.0,-997.0,0,0,0,0.0,0.0,0.0
1762166265.3182878,-1.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166265.4326813,0.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166265.5339744,0.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1762166265.634798,-1.0,-3.0,-1001.0,0,0,0,0.0,0.0,0.0
1762166265.7493517,0.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762166265.865633,0.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166265.9783118,-1.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1762166266.0911195,-1.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166266.2037857,-2.0,-2.0,-997.0,0,0,0,0.0,0.0,0.0
1762166266.316377,-2.0,-5.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166266.4185216,-1.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166266.521925,0.0,-3.0,-1003.0,0,0,0,0.0,0.0,0.0
1762166266.631044,-2.0,0.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166266.7441332,-4.0,-9.0,-998.0,0,0,0,0.0,0.0,0.0
1762166266.8498404,-1.0,-7.0,-1004.0,0,0,0,0.0,0.0,0.0
1762166266.9515638,4.0,2.0,-997.0,0,0,0,0.0,0.0,0.0
1762166267.0668392,3.0,-6.0,-997.0,0,0,0,0.0,0.0,0.0
1762166267.168218,11.0,-6.0,-1015.0,0,0,0,0.0,0.0,0.0
1762166267.2834468,-6.0,-20.0,-1093.0,0,0,0,0.0,0.0,0.0
1762166267.3992522,-16.0,-18.0,-1138.0,0,0,1,0.0,0.0,0.11580538749694824
1762166267.5005214,-24.0,27.0,-1173.0,0,0,2,0.0,0.0,0.3183438777923584
1762166267.601568,-13.0,-3.0,-1122.0,0,-1,3,0.0,-0.10104656219482422,0.621483564376831
1762166267.7054691,-15.0,-31.0,-1069.0,0,-1,4,0.0,-0.20494771003723145,1.03708815574646
1762166267.8151987,5.0,-8.0,-1034.0,0,0,5,0.0,-0.20494771003723145,1.58573579788208
1762166267.9157743,-20.0,-7.0,-1038.0,0,0,5,0.0,-0.20494771003723145,2.0886142253875732
1762166268.027733,-1.0,-29.0,-1001.0,0,0,5,0.0,-0.20494771003723145,2.6484079360961914
1762166268.1402547,-5.0,-11.0,-984.0,0,0,5,0.0,-0.20494771003723145,3.2110161781311035
1762166268.253126,-8.0,-2.0,-973.0,0,0,5,0.0,-0.20494771003723145,3.77537202835083
1762166268.3652825,13.0,3.0,-975.0,0,0,5,0.0,-0.20494771003723145,4.33615517616272
1762166268.4811227,2.0,-1.0,-967.0,0,0,5,0.0,-0.20494771003723145,4.915356159210205
1762166268.594441,-11.0,-28.0,-953.0,0,0,4,0.0,-0.20494771003723145,5.368628978729248
1762166268.7074156,-6.0,-24.0,-926.0,0,0,3,0.0,-0.20494771003723145,5.707552909851074
1762166268.820001,0.0,-21.0,-905.0,0,0,3,0.0,-0.20494771003723145,6.045308828353882
1762166268.932398,-3.0,-6.0,-923.0,0,0,2,0.0,-0.20494771003723145,6.270103216171265
1762166269.0475788,2.0,5.0,-939.0,0,0,1,0.0,-0.20494771003723145,6.385283946990967
1762166269.1602871,-12.0,-4.0,-943.0,0,0,1,0.0,-0.20494771003723145,6.497992277145386
1762166269.2738686,-8.0,-25.0,-933.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166269.3866043,-9.0,-15.0,-947.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166269.499653,-7.0,-15.0,-981.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166269.6123803,-2.0,-18.0,-977.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166269.7249575,8.0,-15.0,-986.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166269.837659,0.0,-16.0,-1005.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166269.9504871,-6.0,-26.0,-1015.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.0665278,-1.0,-30.0,-1006.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.1796498,-14.0,-25.0,-1011.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.292291,9.0,-26.0,-1027.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.4047158,-13.0,-20.0,-1013.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.5170467,1.0,-24.0,-1010.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.6303792,-6.0,-3.0,-996.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.7423115,-2.0,-25.0,-1032.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.8545675,-5.0,-10.0,-986.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166270.9670782,-12.0,-23.0,-991.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.0798974,-2.0,-21.0,-1031.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.1804466,4.0,-10.0,-1004.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.2843134,0.0,-9.0,-997.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.399877,0.0,-19.0,-988.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.5128496,-12.0,-20.0,-979.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.617283,5.0,-14.0,-1001.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.728835,0.0,-7.0,-986.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.8337252,-5.0,3.0,-987.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166271.93431,-5.0,-19.0,-1030.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.035104,0.0,-5.0,-997.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.150322,-2.0,0.0,-988.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.251757,-10.0,-4.0,-997.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.3670812,-7.0,-6.0,-996.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.46825,3.0,-3.0,-981.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.5826101,14.0,-9.0,-994.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.698161,-10.0,-9.0,-1007.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.8146286,-4.0,-11.0,-1014.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166272.9273365,-13.0,-16.0,-970.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.040175,-8.0,-16.0,-998.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.1529188,-3.0,-4.0,-981.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.2640834,3.0,0.0,-974.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.3769026,-20.0,-9.0,-993.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.489723,15.0,-15.0,-989.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.6013246,13.0,-10.0,-1001.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.714102,-5.0,-37.0,-1002.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.8157468,-5.0,-37.0,-1002.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166273.9287808,10.0,-22.0,-994.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.042126,7.0,10.0,-1013.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.154907,5.0,-14.0,-1008.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.2675421,-1.0,-3.0,-992.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.380221,4.0,10.0,-1002.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.4938915,13.0,1.0,-984.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.6062925,1.0,10.0,-992.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.7193263,4.0,-1.0,-1012.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.8329673,8.0,-10.0,-1017.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166274.94578,11.0,-8.0,-1009.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166275.0579834,-14.0,-6.0,-991.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166275.1703353,1.0,-19.0,-997.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166275.2824717,1.0,0.0,-996.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166275.3847346,3.0,-18.0,-1010.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
1762166275.49707,-5.0,-27.0,-977.0,0,0,0,0.0,-0.20494771003723145,6.497992277145386
