Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762166267.8068345,-10.0,-9.0,-997.0,0,0,0,0.0,0.0,0.0
1762166267.907875,-10.0,-8.0,-998.0,0,0,0,0.0,0.0,0.0
1762166268.0082917,-10.0,-6.0,-999.0,0,0,0,0.0,0.0,0.0
1762166268.1087291,-10.0,-7.0,-1002.0,0,0,0,0.0,0.0,0.0
1762166268.209276,-10.0,-8.0,-1001.0,0,0,0,0.0,0.0,0.0
1762166268.3094623,-10.0,-7.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166268.4099038,-10.0,-8.0,-999.0,0,0,0,0.0,0.0,0.0
1762166268.5106702,-10.0,-8.0,-1002.0,0,0,0,0.0,0.0,0.0
1762166268.6116462,-9.0,-8.0,-1001.0,0,0,0,0.0,0.0,0.0
1762166268.7119954,-10.0,-7.0,-999.0,0,0,0,0.0,0.0,0.0
1762166268.8122683,-9.0,-9.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166268.9127934,-10.0,-10.0,-998.0,0,0,0,0.0,0.0,0.0
1762166269.0133317,-9.0,-10.0,-1000.0,0,0,0,0.0,0.0,0.0
1762166269.1136632,-11.0,-9.0,-1002.0,0,0,0,0.0,0.0,0.0
1762166269.2138638,-11.0,-8.0,-999.0,0,0,0,0.0,0.0,0.0
1762166269.314229,-9.0,-8.0,-1001.0,0,0,0,0.0,0.0,0.0
1762166269.414831,-10.0,-9.0,-999.0,0,0,0,0.0,0.0,0.0
1762166269.5154335,-10.0,-9.0,-999.0,0,0,0,0.0,0.0,0.0
1762166269.615807,-10.0,-8.0,-999.0,0,0,0,0.0,0.0,0.0
1762166269.7160242,-10.0,-7.0,-999.0,0,0,0,0.0,0.0,0.0
1762166269.8164954,-10.0,-9.0,-999.0,0,0,0,0.0,0.0,0.0
1762166269.9169228,-10.0,-9.0,-999.0,0,0,0,0.0,0.0,0.0
1762166270.017418,-10.0,-9.0,-999.0,0,0,0,0.0,0.0,0.0
1762166270.1177387,-11.0,-8.0,-999.0,0,0,0,0.0,0.0,0.0
1762166270.2180796,-11.0,-5.0,-1001.0,0,0,0,0.0,0.0,0.0
1762166270.3182225,-16.0,-20.0,-996.0,0,0,0,0.0,0.0,0.0
1762166270.418366,-17.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762166270.518775,-19.0,-18.0,-998.0,0,0,0,0.0,0.0,0.0
1762166270.6191647,-23.0,-18.0,-1002.0,0,0,0,0.0,0.0,0.0
1762166270.7194946,-27.0,0.0,-985.0,0,0,0,0.0,0.0,0.0
1762166270.8200316,-1.0,1.0,-1008.0,0,0,1,0.0,0.0,0.10053706169128418
1762166270.9207244,-8.0,-9.0,-1085.0,0,0,2,0.0,0.0,0.3019225597381592
1762166271.0213244,-21.0,-12.0,-1069.0,0,0,4,0.0,0.0,0.7043225765228271
1762166271.1218598,-16.0,8.0,-1058.0,0,0,5,0.0,0.0,1.2069995403289795
1762166271.2225764,-25.0,3.0,-1006.0,0,0,5,0.0,0.0,1.7105824947357178
1762166271.3228238,-14.0,-3.0,-1062.0,0,0,5,0.0,0.0,2.2118194103240967
1762166271.423289,-1.0,-9.0,-1015.0,0,0,5,0.0,0.0,2.7141458988189697
1762166271.5241823,-36.0,-6.0,-982.0,0,0,5,0.0,0.0,3.2186121940612793
1762166271.6247337,-7.0,0.0,-971.0,0,0,5,0.0,0.0,3.7213690280914307
1762166271.725269,-3.0,3.0,-965.0,0,0,5,0.0,0.0,4.224045991897583
1762166271.8254597,-21.0,7.0,-947.0,0,0,5,0.0,0.0,4.724999189376831
1762166271.9256134,-27.0,-9.0,-953.0,0,0,4,0.0,0.0,5.1256139278411865
1762166272.0259147,-8.0,-1.0,-958.0,0,0,4,0.0,0.0,5.5268189907073975
1762166272.126428,-27.0,0.0,-914.0,0,0,3,0.0,0.0,5.8283586502075195
1762166272.2268116,-5.0,7.0,-937.0,0,0,3,0.0,0.0,6.129509925842285
1762166272.327471,-15.0,6.0,-941.0,0,0,2,0.0,0.0,6.330828666687012
1762166272.4284987,-31.0,20.0,-940.0,0,0,1,0.0,0.0,6.431856393814087
1762166272.5286806,-28.0,10.0,-938.0,0,0,1,0.0,0.0,6.53203821182251
1762166272.628986,-15.0,8.0,-950.0,0,0,0,0.0,0.0,6.53203821182251
1762166272.7294436,-10.0,-8.0,-956.0,0,0,0,0.0,0.0,6.53203821182251
1762166272.8301542,-6.0,2.0,-953.0,0,0,0,0.0,0.0,6.53203821182251
1762166272.9308333,-25.0,-7.0,-972.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.031506,-7.0,5.0,-965.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.1318076,-15.0,-23.0,-1008.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.2322633,2.0,-7.0,-993.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.3325796,-22.0,7.0,-1024.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.4334807,-22.0,0.0,-984.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.5339913,-27.0,-5.0,-987.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.6345143,-29.0,4.0,-1000.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.7348042,-1.0,8.0,-1003.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.8352401,-13.0,19.0,-1012.0,0,0,0,0.0,0.0,6.53203821182251
1762166273.935879,-13.0,15.0,-1015.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.0364,8.0,0.0,-1020.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.1369193,-5.0,9.0,-993.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.2372117,-32.0,3.0,-977.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.3375366,-12.0,0.0,-1017.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.4383352,-38.0,5.0,-1018.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.5384853,-14.0,19.0,-995.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.639007,-17.0,11.0,-1025.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.739636,-16.0,16.0,-996.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.8400168,-31.0,25.0,-1012.0,0,0,0,0.0,0.0,6.53203821182251
1762166274.9403958,-12.0,10.0,-981.0,0,0,0,0.0,0.0,6.53203821182251
1762166275.0406818,-26.0,6.0,-997.0,0,0,0,0.0,0.0,6.53203821182251
1762166275.141147,-45.0,3.0,-1017.0,0,0,0,0.0,0.0,6.53203821182251
