Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762168170.6199994,-2.0,0.0,-997.0,0,0,0,0.0,0.0,0.0
1762168170.7209716,-2.0,0.0,-997.0,0,0,0,0.0,0.0,0.0
1762168170.821775,-2.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762168170.9224982,-2.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762168171.0229533,0.0,-2.0,-996.0,0,0,0,0.0,0.0,0.0
1762168171.1235607,0.0,-2.0,-997.0,0,0,0,0.0,0.0,0.0
1762168171.2239213,0.0,-2.0,-998.0,0,0,0,0.0,0.0,0.0
1762168171.3243456,-1.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1762168171.4251215,0.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762168171.5253196,-2.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168171.625696,0.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168171.726204,-1.0,-2.0,-1001.0,0,0,0,0.0,0.0,0.0
1762168171.8264306,-1.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168171.927245,-1.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762168172.0281863,-1.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168172.1283538,-1.0,-1.0,-997.0,0,0,0,0.0,0.0,0.0
1762168172.2285004,-1.0,-2.0,-1001.0,0,0,0,0.0,0.0,0.0
1762168172.3288283,0.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762168172.429201,-2.0,-2.0,-1003.0,0,0,0,0.0,0.0,0.0
1762168172.529966,0.0,0.0,-998.0,0,0,0,0.0,0.0,0.0
1762168172.6305075,-2.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762168172.730841,-1.0,-1.0,-996.0,0,0,0,0.0,0.0,0.0
1762168172.8311067,0.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168172.9314456,-2.0,0.0,-1001.0,0,0,0,0.0,0.0,0.0
1762168173.0318756,-1.0,-2.0,-1001.0,0,0,0,0.0,0.0,0.0
1762168173.1321537,-1.0,0.0,-1001.0,0,0,0,0.0,0.0,0.0
1762168173.232634,0.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168173.3333292,-1.0,-2.0,-997.0,0,0,0,0.0,0.0,0.0
1762168173.4336264,-1.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168173.534121,-1.0,-2.0,-998.0,0,0,0,0.0,0.0,0.0
1762168173.6345346,0.0,0.0,-1003.0,0,0,0,0.0,0.0,0.0
1762168173.7348905,0.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1762168173.835493,1.0,-1.0,-1003.0,0,0,0,0.0,0.0,0.0
1762168173.93631,-2.0,1.0,-1002.0,0,0,0,0.0,0.0,0.0
1762168174.0366197,8.0,2.0,-997.0,0,0,0,0.0,0.0,0.0
1762168174.136861,12.0,5.0,-1006.0,0,0,0,0.0,0.0,0.0
1762168174.2371945,5.0,-4.0,-1003.0,0,0,0,0.0,0.0,0.0
1762168174.3378286,-22.0,4.0,-1012.0,0,0,0,0.0,0.0,0.0
1762168174.4385927,-34.0,-4.0,-994.0,0,0,0,0.0,0.0,0.0
1762168174.5392041,-25.0,-4.0,-1063.0,0,0,0,0.0,0.0,0.0
1762168174.6398022,-13.0,9.0,-1086.0,0,0,0,0.0,0.0,0.0
1762168174.7400384,-47.0,-28.0,-1160.0,1,0,1,0.10023617744445801,0.0,0.10023617744445801
1762168174.840588,18.0,-13.0,-1156.0,1,0,2,0.20078587532043457,0.0,0.30133557319641113
1762168174.9414346,46.0,10.0,-1049.0,1,0,4,0.3016324043273926,0.0,0.7047216892242432
1762168175.0420315,44.0,-13.0,-1052.0,0,0,4,0.3016324043273926,0.0,1.1071093082427979
1762168175.1423311,11.0,-6.0,-1036.0,0,0,5,0.3016324043273926,0.0,1.608607292175293
1762168175.2431643,-16.0,-22.0,-1026.0,0,0,5,0.3016324043273926,0.0,2.1127731800079346
1762168175.3436444,34.0,-12.0,-1004.0,0,0,5,0.3016324043273926,0.0,2.615173578262329
1762168175.4440286,2.0,-17.0,-967.0,0,0,6,0.3016324043273926,0.0,3.2174789905548096
1762168175.5445306,-7.0,-19.0,-1006.0,0,0,6,0.3016324043273926,0.0,3.820491075515747
1762168175.6452968,2.0,18.0,-965.0,0,0,5,0.3016324043273926,0.0,4.324321985244751
1762168175.7461078,2.0,18.0,-965.0,0,0,5,0.3016324043273926,0.0,4.82837700843811
