Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762170526.8295116,-8.0,-2.0,-998.0,0,0,0,0.0,0.0,0.0
1762170526.9302657,-8.0,-1.0,-1001.0,0,0,0,0.0,0.0,0.0
1762170527.0306108,-7.0,0.0,-999.0,0,0,0,0.0,0.0,0.0
1762170527.130901,-7.0,-2.0,-997.0,0,0,0,0.0,0.0,0.0
1762170527.2313113,-7.0,0.0,-1002.0,0,0,0,0.0,0.0,0.0
1762170527.3320138,-8.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1762170527.4326003,-7.0,-1.0,-1001.0,0,0,0,0.0,0.0,0.0
1762170527.5330236,-6.0,-1.0,-997.0,0,0,0,0.0,0.0,0.0
1762170527.6333637,-7.0,0.0,-998.0,0,0,0,0.0,0.0,0.0
1762170527.7336614,-8.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762170527.8338742,-6.0,-1.0,-998.0,0,0,0,0.0,0.0,0.0
1762170527.9346762,-7.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1762170528.035314,-7.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762170528.1359441,-6.0,-1.0,-1003.0,0,0,0,0.0,0.0,0.0
1762170528.2362788,-7.0,-1.0,-1001.0,0,0,0,0.0,0.0,0.0
1762170528.336714,-6.0,0.0,-1001.0,0,0,0,0.0,0.0,0.0
1762170528.437073,-7.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1762170528.537701,-7.0,-1.0,-1000.0,0,0,0,0.0,0.0,0.0
1762170528.6380541,-7.0,0.0,-1001.0,0,0,0,0.0,0.0,0.0
1762170528.7387831,-7.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1762170528.8396175,-6.0,-1.0,-1002.0,0,0,0,0.0,0.0,0.0
1762170528.9400134,-8.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1762170529.0405307,-7.0,0.0,-1004.0,0,0,0,0.0,0.0,0.0
1762170529.1412501,-14.0,0.0,-998.0,0,0,0,0.0,0.0,0.0
1762170529.2416804,-6.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1762170529.342152,-1.0,5.0,-995.0,0,0,0,0.0,0.0,0.0
1762170529.4428792,-30.0,-2.0,-1022.0,0,0,0,0.0,0.0,0.0
