Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1761038860.9141407,0.0,-3.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038861.015453,-2.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038861.1160805,-1.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1761038861.2165327,-3.0,-2.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038861.3172734,-1.0,-2.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038861.4178185,0.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038861.5180259,-4.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1761038861.6186554,-4.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1761038861.7190518,0.0,-1.0,-999.0,0,0,0,0.0,0.0,0.0
1761038861.8193104,-2.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038861.9197648,-1.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1761038862.0199726,-1.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1761038862.1206534,-2.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1761038862.2211251,-1.0,-3.0,-1002.0,0,0,0,0.0,0.0,0.0
1761038862.3214881,-2.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1761038862.4219491,-2.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1761038862.5227575,-1.0,-3.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038862.6232274,-1.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1761038862.7236652,0.0,-1.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038862.8241289,-2.0,-2.0,-999.0,0,0,0,0.0,0.0,0.0
1761038862.924465,-1.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038863.025241,0.0,-3.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038863.1255918,-1.0,-2.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038863.2260342,-4.0,-4.0,-1003.0,0,0,0,0.0,0.0,0.0
1761038863.3264012,6.0,-9.0,-997.0,0,0,0,0.0,0.0,0.0
1761038863.4270282,-4.0,-5.0,-998.0,0,0,0,0.0,0.0,0.0
1761038863.5278134,0.0,-6.0,-1002.0,0,0,0,0.0,0.0,0.0
1761038863.6283677,-2.0,0.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038863.7286417,-32.0,8.0,-1066.0,0,0,0,0.0,0.0,0.0
1761038863.82921,12.0,-9.0,-1112.0,0,0,0,0.0,0.0,0.0
1761038863.929856,-11.0,-4.0,-1256.0,0,0,2,0.0,0.0,0.2012920379638672
1761038864.030494,-13.0,7.0,-1156.0,0,0,3,0.0,0.0,0.5032057762145996
1761038864.130726,5.0,-25.0,-1093.0,0,0,5,0.0,0.0,1.004366397857666
1761038864.231362,4.0,12.0,-1022.0,0,0,6,0.0,0.0,1.608182430267334
1761038864.3317504,26.0,12.0,-998.0,0,0,6,0.0,0.0,2.210512161254883
1761038864.4323127,-3.0,17.0,-985.0,0,0,6,0.0,0.0,2.8138861656188965
1761038864.532646,-33.0,10.0,-972.0,0,0,6,0.0,0.0,3.4158854484558105
1761038864.6330607,-2.0,4.0,-938.0,0,0,6,0.0,0.0,4.018373966217041
1761038864.7337933,20.0,-5.0,-935.0,0,0,5,0.0,0.0,4.522036790847778
1761038864.8348553,-4.0,28.0,-940.0,0,0,5,0.0,0.0,5.027347087860107
1761038864.9354649,20.0,-5.0,-933.0,0,0,4,0.0,0.0,5.429785251617432
1761038865.035706,16.0,-6.0,-927.0,0,0,4,0.0,0.0,5.830749988555908
1761038865.1362479,0.0,21.0,-945.0,0,0,3,0.0,0.0,6.132375478744507
1761038865.2369757,-5.0,1.0,-908.0,0,0,2,0.0,0.0,6.333831071853638
1761038865.337293,16.0,-13.0,-947.0,0,0,1,0.0,0.0,6.43414831161499
1761038865.438397,18.0,-2.0,-957.0,0,0,1,0.0,0.0,6.535252332687378
1761038865.5387273,15.0,7.0,-985.0,0,0,1,0.0,0.0,6.635582685470581
1761038865.6392632,-2.0,6.0,-984.0,0,0,0,0.0,0.0,6.635582685470581
1761038865.7396884,33.0,1.0,-999.0,0,0,0,0.0,0.0,6.635582685470581
1761038865.8402548,14.0,9.0,-1018.0,0,0,0,0.0,0.0,6.635582685470581
1761038865.9405713,1.0,-6.0,-1006.0,0,0,0,0.0,0.0,6.635582685470581
1761038866.0411985,0.0,-16.0,-1003.0,0,0,0,0.0,0.0,6.635582685470581
1761038866.141814,-11.0,18.0,-1021.0,0,0,0,0.0,0.0,6.635582685470581
1761038866.2426114,21.0,-6.0,-997.0,0,0,1,0.0,0.0,6.736380100250244
1761038866.343628,-6.0,-18.0,-1001.0,0,0,1,0.0,0.0,6.837396621704102
1761038866.443888,-6.0,6.0,-1014.0,0,0,1,0.0,0.0,6.93765664100647
1761038866.5443022,-19.0,3.0,-979.0,0,0,1,0.0,0.0,7.038070917129517
1761038866.644846,5.0,-7.0,-1013.0,0,0,1,0.0,0.0,7.138614654541016
1761038866.745231,23.0,3.0,-990.0,0,0,1,0.0,0.0,7.238999605178833
1761038866.8456137,14.0,-5.0,-993.0,0,0,1,0.0,0.0,7.3393824100494385
1761038866.9460795,12.0,-4.0,-959.0,0,0,1,0.0,0.0,7.439848184585571
1761038867.04635,26.0,2.0,-991.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.1472087,-7.0,-9.0,-978.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.247853,16.0,2.0,-1002.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.3483367,-29.0,30.0,-994.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.448638,-15.0,11.0,-965.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.549204,0.0,-13.0,-987.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.650132,-28.0,-3.0,-995.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.7505093,21.0,2.0,-1009.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.8510985,-40.0,17.0,-1004.0,0,0,0,0.0,0.0,7.439848184585571
1761038867.9515061,7.0,10.0,-998.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.051728,-23.0,22.0,-1000.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.1524448,26.0,-10.0,-990.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.253328,13.0,-10.0,-976.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.3541243,-31.0,5.0,-988.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.454935,10.0,6.0,-1001.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.5552943,-30.0,7.0,-995.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.6560261,-16.0,-3.0,-1014.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.756999,0.0,2.0,-988.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.8579185,-18.0,28.0,-1017.0,0,0,0,0.0,0.0,7.439848184585571
1761038868.9583874,-22.0,-2.0,-995.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.0589216,-36.0,34.0,-1012.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.1591125,8.0,10.0,-1014.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.259707,-12.0,0.0,-1007.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.3604503,-25.0,-2.0,-987.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.4611018,4.0,-14.0,-1032.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.5615602,-17.0,5.0,-1028.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.6622927,5.0,-3.0,-1003.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.7630033,17.0,-30.0,-981.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.8634827,-2.0,-1.0,-1021.0,0,0,0,0.0,0.0,7.439848184585571
1761038869.9641776,-6.0,24.0,-1012.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.0644443,-21.0,18.0,-1020.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.1648474,-23.0,31.0,-999.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.2654965,-13.0,12.0,-1009.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.365812,9.0,-8.0,-999.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.466266,29.0,4.0,-1006.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.56716,8.0,9.0,-983.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.6675394,-23.0,16.0,-974.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.7677133,-9.0,9.0,-1000.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.8686473,-36.0,10.0,-989.0,0,0,0,0.0,0.0,7.439848184585571
1761038870.9690614,-23.0,7.0,-978.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.0697136,36.0,4.0,-1011.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.170122,19.0,-14.0,-1008.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.2708044,-19.0,-8.0,-989.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.3709679,-37.0,32.0,-993.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.4713833,15.0,1.0,-983.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.5721745,-1.0,1.0,-995.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.672815,-37.0,16.0,-990.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.7731502,-39.0,18.0,-973.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.8736708,-50.0,22.0,-964.0,0,0,0,0.0,0.0,7.439848184585571
1761038871.9740844,9.0,28.0,-1006.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.074732,2.0,-13.0,-971.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.1758933,-4.0,9.0,-1004.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.2764974,27.0,19.0,-1001.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.3769133,36.0,-6.0,-995.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.4773889,1.0,12.0,-1010.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.5781753,-11.0,25.0,-1010.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.6788032,-25.0,-16.0,-983.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.7794654,-33.0,34.0,-1000.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.880029,-18.0,0.0,-974.0,0,0,0,0.0,0.0,7.439848184585571
1761038872.9803483,-3.0,-4.0,-1034.0,0,0,0,0.0,0.0,7.439848184585571
