Frame,Sub Frame,Position - TelloUWB11,,
,,TX,TY,TZ
Frames,Frames,mm,mm,mm
1,0,26.5162,8.91876,46.497
2,0,26.5604,8.91863,46.4459
3,0,26.5183,8.90849,46.4942
4,0,26.6148,9.00684,46.2007
5,0,26.2754,9.29017,46.277
6,0,26.4444,9.42492,45.4554
7,0,26.4238,8.86427,46.5321
8,0,26.7205,9.13422,46.1484
9,0,26.5388,8.94849,46.4599
10,0,26.7348,9.15086,46.1394
11,0,26.6296,8.99868,46.2108
12,0,26.5206,8.91613,46.4868
13,0,26.5561,8.99817,46.4556
14,0,26.6313,9.00257,46.2012
15,0,26.5191,8.91819,46.4814
16,0,26.5214,8.91604,46.4956
17,0,26.7349,9.1441,46.1437
18,0,26.5063,8.9193,46.4972
19,0,26.6348,9.00747,46.1879
20,0,26.6312,9.01456,46.1932
21,0,26.6209,9.09489,46.4131
22,0,26.5143,8.92292,46.4849
23,0,26.721,9.15397,46.1393
24,0,26.6041,9.06609,46.4284
25,0,26.5134,8.91257,46.493
26,0,26.4894,9.48189,45.3651
27,0,26.3541,9.36776,46.0277
28,0,26.6394,9.00323,46.2008
29,0,26.5215,8.91161,46.477
30,0,26.6288,9.00116,46.1966
31,0,26.462,9.451,45.7275
32,0,26.5278,8.95287,46.4688
33,0,26.5964,9.01594,46.1854
34,0,26.5973,9.05863,46.435
35,0,26.5096,8.92393,46.5083
36,0,26.601,9.0665,46.4312
37,0,26.6217,9.00064,46.194
38,0,26.6068,9.05973,46.4386
39,0,26.5131,8.91344,46.4795
40,0,26.5966,9.06859,46.4268
41,0,26.512,8.91383,46.4702
42,0,26.3283,8.80455,46.7736
43,0,26.4991,8.91219,46.4915
44,0,26.4172,8.86368,46.7572
45,0,26.5065,8.91163,46.4897
46,0,26.5281,8.94616,46.4633
47,0,26.3949,8.94861,46.7503
48,0,26.6221,9.00208,46.1948
49,0,26.5006,9.00078,46.6939
50,0,26.5182,8.90124,46.4756
51,0,26.6051,9.06862,46.4354
52,0,26.5113,8.91187,46.4797
53,0,26.5954,9.05454,46.4324
54,0,26.5058,8.90701,46.4684
55,0,26.6178,8.99966,46.1871
56,0,26.6117,9.00747,46.1819
57,0,26.7211,9.15892,46.1477
58,0,26.354,9.36411,46.0056
59,0,26.3549,9.28922,45.7883
60,0,26.512,8.90601,46.474
61,0,26.5581,8.92096,46.4509
62,0,26.7161,9.14766,46.1393
63,0,26.4586,9.43486,45.7393
64,0,26.5318,8.94848,46.4543
65,0,26.5054,8.9081,46.4848
66,0,26.5083,9.00897,46.6912
67,0,26.6239,9.00122,46.1952
68,0,26.5115,8.91236,46.4823
69,0,26.5173,8.91501,46.4773
70,0,26.5151,8.90352,46.4965
71,0,26.6206,8.99399,46.2033
72,0,26.416,8.85757,46.5193
73,0,26.5117,8.90741,46.4938
74,0,26.6173,9.01159,46.2046
75,0,26.6233,8.99799,46.1991
76,0,26.5024,8.91444,46.4829
77,0,26.728,9.14413,46.1465
78,0,26.7279,9.13806,46.1536
79,0,26.5213,8.90992,46.5078
80,0,26.4117,8.86332,46.5175
81,0,26.4166,8.85983,46.7584
82,0,26.4246,8.86251,46.734
83,0,26.5058,8.91304,46.4856
84,0,26.4179,8.85329,46.5202
85,0,26.6205,8.99883,46.2015
86,0,26.5081,8.90895,46.4721
87,0,26.6302,9.00145,46.1898
88,0,26.642,9.00141,46.1883
89,0,26.5136,8.91245,46.4918
90,0,26.5221,8.91156,46.4886
91,0,26.5139,8.90733,46.4794
92,0,26.5095,8.90887,46.4852
93,0,26.4328,8.85308,46.7552
94,0,26.7235,9.15301,46.1472
95,0,26.5335,8.93672,46.2324
96,0,26.6407,8.99324,46.1934
97,0,26.5305,8.93498,46.2236
98,0,26.6289,8.99319,46.1935
99,0,26.9303,9.21473,46.0974
100,0,26.7252,9.13294,46.15
101,0,26.641,8.99044,46.1915
102,0,26.7344,9.14334,46.1319
103,0,26.5085,8.90626,46.4903
104,0,26.5096,8.90967,46.4739
105,0,26.6353,8.99863,46.1994
106,0,26.7259,9.14194,46.1327
107,0,26.5055,8.91309,46.4782
108,0,26.5406,8.9393,46.4593
109,0,26.441,8.82193,46.7222
110,0,26.601,9.06989,46.4317
111,0,26.6227,8.99447,46.1984
112,0,26.6039,9.0618,46.436
113,0,26.7198,8.98881,46.3922
114,0,26.7151,8.99535,46.3844
115,0,26.7293,9.14323,46.1448
116,0,26.6048,9.06049,46.4193
117,0,26.5217,8.90658,46.5033
118,0,26.6055,9.05941,46.4258
119,0,26.6202,8.99551,46.1713
120,0,26.631,8.99507,46.1947
121,0,26.6292,8.9987,46.1956
122,0,26.6631,9.0495,46.3748
123,0,26.6062,9.0627,46.4243
124,0,26.6066,9.05359,46.4173
125,0,26.5175,8.91252,46.486
126,0,26.5187,8.91215,46.4808
127,0,26.6413,8.98912,46.1868
128,0,26.7364,9.14206,46.1626
129,0,26.6284,8.98748,46.1865
130,0,26.5098,8.91601,46.4865
131,0,26.4121,8.85755,46.519
132,0,26.4079,8.85838,46.5179
133,0,26.6305,8.98673,46.1974
134,0,26.6255,8.9982,46.1863
135,0,26.5094,8.91265,46.4906
136,0,26.5171,8.90751,46.4588
137,0,26.5284,8.92832,46.2295
138,0,26.6289,8.99404,46.2011
139,0,26.5192,8.90879,46.471
140,0,26.5149,8.91082,46.4785
141,0,26.5553,8.91389,46.4267
142,0,26.5066,9.00623,46.7141
143,0,26.5088,9.01045,46.7025
144,0,26.7203,9.1425,46.1411
145,0,26.5372,8.94357,46.4547
146,0,26.6015,9.0088,46.1931
147,0,26.4145,8.86353,46.7336
148,0,26.4133,8.84932,46.74
149,0,26.6231,8.98858,46.1833
150,0,26.5117,8.90117,46.4941
151,0,26.5207,8.98353,46.68
152,0,26.601,9.06277,46.4338
153,0,26.5413,8.93965,46.4609
154,0,26.6207,8.99576,46.1958
155,0,26.5092,8.90985,46.4606
