Frame,Sub Frame,"Position - TelloUWB22",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"770.299","957.473","3.83065"
2,0,"770.301","957.477","3.84159"
3,0,"770.338","957.424","3.732"
4,0,"770.306","957.47","3.90479"
5,0,"770.32","957.484","3.86388"
6,0,"770.323","957.478","3.86319"
7,0,"770.311","957.461","3.88528"
8,0,"770.318","957.467","3.88961"
9,0,"770.321","957.478","3.8736"
10,0,"770.3","957.472","3.86236"
11,0,"770.31","957.477","3.91006"
12,0,"770.314","957.468","3.88025"
13,0,"770.317","957.475","3.85798"
14,0,"770.316","957.48","3.89035"
15,0,"770.298","957.479","3.90332"
16,0,"770.323","957.415","3.69065"
17,0,"770.323","957.406","3.75537"
18,0,"770.295","957.477","3.83887"
19,0,"770.293","957.456","3.84597"
20,0,"770.323","957.478","3.8616"
21,0,"770.304","957.469","3.86907"
22,0,"770.307","957.472","3.88787"
23,0,"770.297","957.485","3.59475"
24,0,"770.315","957.483","3.88064"
25,0,"770.304","957.469","3.87376"
26,0,"770.452","957.431","3.62318"
27,0,"770.299","957.486","3.90326"
28,0,"770.291","957.475","3.83319"
29,0,"770.335","957.398","3.70267"
30,0,"770.31","957.49","3.89758"
31,0,"770.315","957.481","3.87128"
32,0,"770.32","957.475","3.88652"
33,0,"770.313","957.418","3.7404"
34,0,"770.306","957.485","3.90655"
35,0,"770.305","957.475","3.88667"
36,0,"770.307","957.484","3.90578"
37,0,"770.297","957.484","3.82735"
38,0,"770.307","957.47","3.87691"
39,0,"770.308","957.478","3.89289"
40,0,"770.308","957.481","3.9265"
41,0,"770.33","957.407","3.77045"
42,0,"770.327","957.485","3.87395"
43,0,"770.308","957.474","3.84068"
44,0,"770.314","957.474","3.88104"
45,0,"770.331","957.393","3.74517"
46,0,"770.31","957.455","3.8835"
47,0,"770.29","957.475","3.84646"
48,0,"770.299","957.466","3.88767"
49,0,"770.293","957.482","3.8645"
50,0,"770.301","957.459","3.87704"
51,0,"770.313","957.477","3.87328"
52,0,"770.294","957.474","3.82244"
53,0,"770.311","957.471","3.86657"
54,0,"770.357","957.394","3.75066"
55,0,"770.3","957.469","3.88231"
56,0,"770.289","957.469","3.84249"
57,0,"770.291","957.454","3.83818"
58,0,"770.308","957.463","3.87331"
59,0,"770.3","957.475","3.91524"
60,0,"770.301","957.48","3.9097"
61,0,"770.306","957.482","3.90628"
62,0,"770.29","957.466","3.87957"
63,0,"770.307","957.47","3.87962"
64,0,"770.298","957.486","3.81858"
65,0,"770.331","957.468","3.85843"
66,0,"770.293","957.464","3.83588"
67,0,"770.411","957.479","3.76267"
68,0,"770.296","957.462","3.83599"
69,0,"770.312","957.492","3.86417"
70,0,"770.339","957.43","3.73916"
71,0,"770.306","957.468","3.90799"
72,0,"770.308","957.396","3.69907"
73,0,"770.297","957.457","3.83762"
74,0,"770.338","957.409","3.72125"
75,0,"770.282","957.472","3.84162"
76,0,"770.311","957.467","3.90056"
77,0,"770.312","957.466","3.88244"
78,0,"770.284","957.473","3.83547"
79,0,"770.318","957.467","3.87597"
80,0,"770.31","957.474","3.87164"
81,0,"770.301","957.461","3.90763"
82,0,"770.31","957.458","3.8817"
83,0,"770.3","957.47","3.82963"
84,0,"770.418","957.472","3.78888"
85,0,"770.327","957.406","3.69234"
86,0,"770.294","957.473","3.83018"
87,0,"770.3","957.478","3.83946"
88,0,"770.339","957.401","3.74611"
89,0,"770.294","957.466","3.83143"
90,0,"770.311","957.472","3.89456"
91,0,"770.336","957.412","3.72751"
92,0,"770.31","957.459","3.88085"
93,0,"770.31","957.456","3.87929"
94,0,"770.308","957.47","3.87643"
95,0,"770.288","957.476","3.84968"
96,0,"770.304","957.471","3.88516"
97,0,"770.322","957.465","3.87453"
98,0,"770.307","957.465","3.88604"
99,0,"770.274","957.476","3.87667"
100,0,"770.315","957.475","3.86748"
101,0,"770.298","957.488","3.83744"
102,0,"770.295","957.463","3.84246"
103,0,"770.306","957.472","3.89064"
104,0,"770.303","957.466","3.8776"
105,0,"770.299","957.468","3.82859"
106,0,"770.31","957.467","3.88744"
107,0,"770.421","957.484","3.79898"
108,0,"770.309","957.46","3.88617"
109,0,"770.336","957.386","3.74946"
110,0,"770.304","957.472","3.87181"
111,0,"770.318","957.468","3.86827"
112,0,"770.32","957.416","3.68932"
113,0,"770.337","957.41","3.74219"
114,0,"770.315","957.475","3.91196"
115,0,"770.304","957.47","3.91553"
116,0,"770.302","957.481","3.89085"
117,0,"770.286","957.474","3.84655"
118,0,"770.321","957.477","3.87233"
119,0,"770.277","957.486","3.866"
120,0,"770.287","957.48","3.85075"
121,0,"770.306","957.478","3.87583"
122,0,"770.308","957.486","3.88614"
123,0,"770.299","957.47","3.89768"
124,0,"770.289","957.46","3.8735"
125,0,"770.315","957.472","3.88456"
126,0,"770.354","957.414","3.717"
127,0,"770.313","957.471","3.87885"
128,0,"770.402","957.491","3.83993"
129,0,"770.293","957.475","3.83634"
130,0,"770.286","957.486","3.87948"
131,0,"770.292","957.464","3.84662"
132,0,"770.32","957.478","3.87321"
133,0,"770.299","957.465","3.84325"
134,0,"770.33","957.403","3.70786"
135,0,"770.341","957.414","3.73099"
136,0,"770.283","957.473","3.83963"
137,0,"770.307","957.411","3.75658"
138,0,"770.311","957.471","3.88746"
139,0,"770.298","957.462","3.89195"
140,0,"770.289","957.472","3.83442"
141,0,"770.291","957.462","3.83543"
142,0,"770.298","957.472","3.83001"
143,0,"770.328","957.404","3.70772"
144,0,"770.308","957.471","3.91226"
145,0,"770.324","957.4","3.70071"
146,0,"770.276","957.464","3.82427"
147,0,"770.416","957.487","3.73878"
148,0,"770.319","957.469","3.8742"
149,0,"770.295","957.466","3.84108"
150,0,"770.298","957.485","3.91023"
151,0,"770.302","957.454","3.84015"
152,0,"770.301","957.473","3.83275"
153,0,"770.342","957.394","3.74079"
